;refmc;t+10mcs;t-10mcs;afp+15;afp-15
0;20.61251356;10;30.84014551;10.00000122;26.00278597
1;24.20952799;10;33.48218637;11.63220086;24.96537727
2;39.26430094;38.01538571;36.59975175;38.03741665;37.14068503
3;22.37331406;10.00000005;27.46506357;10.00002227;28.49283435
4;31.64993491;29.18342845;35.3946889;29.78463197;33.56448874
5;34.69157144;37.9089707;34.18081309;41.24029544;36.3950604
6;38.24948423;37.05604185;38.8829961;37.88234874;35.69951426
7;22.32612279;10;28.9484977;10.00463884;24.32461279
8;37.67433731;33.04582688;35.95499137;36.59439733;33.88494418
9;18.59463123;10;28.52913688;10;29.44887771
10;32.98078319;32.48068918;37.19169723;36.18335738;37.2575383
11;37.98812257;37.06355856;37.81852305;37.61560326;36.86721319
12;39.5494544;30.70029997;37.31600198;41.31954342;35.69010139
13;38.14942334;40.76938145;36.58962584;38.65625759;30.65289789
14;34.96918239;42.30652244;37.16331906;38.6012862;38.90792796
15;40.77809878;40.19698146;34.64415161;37.45269641;38.12427762
16;37.29806314;35.83454022;35.04885278;39.76336073;34.83554781
17;33.9639914;26.40256305;37.50711264;30.33382886;33.35968593
18;37.34479167;39.61703685;35.75701833;44.60225346;41.07548357
19;40.06882837;36.60318818;38.52635871;42.09385736;36.28573439
20;38.26053528;36.27478592;34.96231544;40.82515422;38.0712169
21;42.15885275;35.29662049;41.52307113;40.06539895;35.96411162
22;40.02362312;38.4428184;36.84162359;41.32142697;36.37989049
23;19.41202598;10;31.43271234;10.71128744;26.58039272
24;38.89554653;39.51713612;38.09748489;41.55616662;35.11524215
25;40.18896298;38.19856769;36.4274097;36.97865192;36.19688162
26;33.77710495;33.88405834;42.17055526;37.90153446;32.43538754
27;37.67908026;33.81048948;37.33974077;37.01198984;36.95290086
28;23.24423371;10;31.79064766;11.16152313;28.16508884
29;19.06794262;10;29.45188021;10.13734129;26.79390411
30;21.86198309;10;25.97473352;10.00002281;32.11412211
31;19.75984423;10;30.80742405;10.00000007;25.85254467
32;34.86387105;32.77831322;37.76857437;37.29537633;37.51667872
33;34.81202215;32.77866363;38.30899061;37.16937772;35.88651541
34;36.0358172;34.98910704;35.46116907;40.28977795;41.54334438
35;36.9324046;36.33038667;31.83679997;36.33197884;36.02370984
36;35.95015729;33.23364111;36.40614325;38.15144067;35.50751429
37;18.70319399;10;35.02223383;10.03042227;28.00353453
38;39.18371335;33.70253603;39.07769967;37.23020217;34.18640422
39;19.71047618;10;33.57195954;10;26.65893053
40;18.78519663;10;34.25932017;10.01377067;24.33491893
41;21.00770264;10;33.86721944;10.00494323;26.77365177
42;34.85566602;36.15972279;37.48435398;35.79626758;37.90486546
43;34.72019511;37.02345584;36.24845001;36.86391533;34.20725778
44;38.57796603;38.26059867;34.6494959;36.94803358;32.75095231
45;19.00995045;10;29.49379783;10.16433795;28.14431014
46;42.01685694;40.00009082;39.44355721;42.57553982;39.13802544
47;39.75583878;39.53576157;35.3819918;41.0033818;35.81272235
48;30.75896207;31.16932394;37.38637096;32.35016572;36.16414289
49;30.5265781;24.25985038;36.66322576;31.17876627;38.50198472
50;35.39077932;30.00491182;38.40814272;30.55296569;32.47396461
51;37.83163756;37.56718682;38.92123232;36.21897887;33.4971746
52;37.8535244;39.66608118;40.59733833;41.59165517;38.07272947
53;34.3864421;36.07653009;36.31417817;34.73465054;34.66242543
54;32.29601743;36.3606503;39.2647461;33.94770274;35.9219654
55;37.68029738;33.58731533;32.41044285;38.221822;36.94736507
56;34.59476112;42.0470271;41.18671731;41.1901863;36.77666282
57;35.59995469;34.18874621;39.61060094;38.17656165;33.65765483
58;21.93851451;10;36.39690751;10.94398882;28.18489114
59;25.25582049;10;29.13204938;10.49276871;28.66419206
60;20.80742329;10;35.06474468;10.00037866;27.54254348
61;39.31390551;35.63946334;36.54122751;41.76184013;32.65448745
62;22.98611072;10;29.75624715;10.00000011;26.99502693
63;35.51181457;32.93746532;37.19939769;33.11274547;35.02360777
64;38.77672326;37.82687993;41.38625106;41.16979324;36.91471301
65;38.02615352;32.94034415;35.7058518;36.42994161;37.65938653
66;21.86694742;10;28.85129485;11.42305681;28.28908327
67;33.11147766;32.58944203;35.10733921;34.54871544;33.98455344
68;37.30717234;33.43123588;39.68622646;37.56741054;31.92758626
69;32.76002857;33.6961593;38.81134866;34.36957891;35.16381822
70;33.07662319;30.97337602;38.42111789;28.5784302;32.83758545
71;26.40246947;10;30.92161156;10.00007234;27.22555703
72;33.97779328;33.97591853;35.96449186;36.49367872;35.73314476
73;36.47859942;35.68722347;34.5660455;34.46461564;39.00385728
74;22.11448126;10;33.69338547;10;26.58120493
75;19.49584208;10;31.75171982;10.00000342;28.03519539
76;34.32905163;36.18945906;36.77582106;36.36977729;36.13968994
77;37.17399204;35.24292837;33.58694412;38.02083362;33.21219867
78;21.78196669;10.00000004;31.88441536;10.00000004;27.63662714
79;34.06904071;34.58055005;33.26707626;33.87976892;35.14987983
80;39.07883654;39.28564798;38.8472811;40.76986558;37.04520525
81;31.18251039;34.31183205;36.1511051;35.94649285;36.61207204
82;33.08244444;29.59754895;37.98794749;30.65555859;32.44835803
83;33.43940989;30.79148586;34.47155997;28.50157855;32.46229269
84;36.7285281;31.01436929;35.7025704;30.61421539;38.22765568
85;24.72533402;11.30735809;34.15205346;13.93675677;32.26538333
86;21.1782647;10;32.71762675;10;29.20207353
87;21.13296806;10;32.93238392;10;26.19937321
88;31.51054158;31.38018829;37.85771485;32.1575549;32.32319581
89;29.39976048;25.43409041;38.15363269;28.09095315;35.02700524
90;36.36431072;35.15106509;39.56417645;40.84884583;37.56784563
91;36.54051041;35.9898972;33.20588384;38.57108541;36.96824395
92;41.5210067;37.15643028;35.60045168;41.5973539;37.50283445
93;35.09098112;29.89967224;32.63171676;38.28204458;33.46649026
94;22.45404027;10;30.114087;10.00003993;29.18748008
95;32.93019911;31.90139018;32.29352584;37.37426336;37.05062337
96;40.34844413;37.09249009;37.84087248;41.97750877;35.65563759
97;35.78474726;20.90231765;38.53888868;27.91672806;38.83325458
98;37.73442414;34.3876481;36.9099004;37.84509067;35.40917971
99;18.19625573;10;32.04662853;13.06115725;24.56763319
100;30.83499339;21.77847535;32.63347901;29.19137982;31.75467204
